epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.450688898563385,1.515599250793457,0.001,0.5740000009536743,1.2066245079040527
1,0.6056444644927979,1.1225529909133911,0.001,0.6460000276565552,1.0290263891220093
2,0.6641777753829956,0.9610464572906494,0.001,0.6661999821662903,0.9703224897384644
3,0.7081555724143982,0.8339124917984009,0.001,0.7016000151634216,0.8744061589241028
4,0.7420889139175415,0.7374941110610962,0.001,0.7167999744415283,0.8380805850028992
5,0.7721111178398132,0.6527562141418457,0.001,0.718999981880188,0.8352214097976685
6,0.7974666953086853,0.5783371329307556,0.001,0.7120000123977661,0.8732752799987793
7,0.8221333622932434,0.504574716091156,0.001,0.7264000177383423,0.8914833068847656
8,0.896399974822998,0.3065216541290283,0.00020000001,0.7337999939918518,0.9473286271095276
9,0.9139999747276306,0.2605738937854767,0.00020000001,0.7342000007629395,0.9949039816856384
10,0.9366888999938965,0.2063806802034378,4.0000003e-05,0.734000027179718,1.0327248573303223
